COD_GERAL;ANO;UF_CODIGO;UF_SIGLA;CARGO_DESCRICAO;CARGO_CODIGO;TIPO_LEGENDA;COLIGACAO_NOME;COLIGACAO_CODIGO;MINIMO;COLIGACAO_COMPOSICAO;COLIGACAO_COMPOSICAO TSE;N PARTIDOS;PARTIDO_NUMERO;PARTIDO_SIGLA;PARTIDO_NOME;VOTOS NOMINAIS;VOTOS LEGENDA;CABECA
1994101011;1994;10;BR;PRESIDENTE;1;PARTIDO ISOLADO;NA;1011;11;PPR;;1;11;PPR;PARTIDO PROGRESSISTA REFORMADOR;1739401;0;1
1994101012;1994;10;BR;PRESIDENTE;1;PARTIDO ISOLADO;NA;1012;12;PDT;;1;12;PDT;PARTIDO DEMOCRATICO TRABALHISTA;2015185;0;1
1994101101;1994;10;BR;PRESIDENTE;1;COLIGACAO;FRENTE BRASIL POPULAR PELA CIDADANIA;1101;101;PCdoB/PPS/PSB/PSTU/PT/PV;;6;13;PT;PARTIDO DOS TRABALHADORES;17112552;0;1
1994101100;1994;10;BR;PRESIDENTE;1;COLIGACAO;UNIÃO, TRABALHO E PROGRESSO;1100;100;PFL/PSDB/PTB;;3;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;0;0;0
1994101102;1994;10;BR;PRESIDENTE;1;COLIGACAO;DESENVOLVIMENTO DO BRASIL;1102;102;PMDB/PSD;;2;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;2771595;0;1
1994101101;1994;10;BR;PRESIDENTE;1;COLIGACAO;FRENTE BRASIL POPULAR PELA CIDADANIA;1101;101;PCdoB/PPS/PSB/PSTU/PT/PV;;6;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;0;0;0
1994101020;1994;10;BR;PRESIDENTE;1;PARTIDO ISOLADO;NA;1020;20;PSC;;1;20;PSC;PARTIDO SOCIAL CRISTAO;238084;0;1
1994101101;1994;10;BR;PRESIDENTE;1;COLIGACAO;FRENTE BRASIL POPULAR PELA CIDADANIA;1101;101;PCdoB/PPS/PSB/PSTU/PT/PV;;6;23;PPS;PARTIDO POPULAR SOCIALISTA;0;0;0
1994101100;1994;10;BR;PRESIDENTE;1;COLIGACAO;UNIÃO, TRABALHO E PROGRESSO;1100;100;PFL/PSDB/PTB;;3;25;PFL;PARTIDO DA FRENTE LIBERAL;0;0;0
1994101036;1994;10;BR;PRESIDENTE;1;PARTIDO ISOLADO;NA;1036;36;PRN;;1;36;PRN;PARTIDO DA RECONSTRUCAO NACIONAL;387399;0;1
